,NOC,Medal_sum,people,Fscore,gen_ave,enrollment,adolescent_fertility,Labor,Schooling_years,Primary_edu,Employment
492,JOR_1996,2,5,0.4,36.10348,NA,95.81716,13.74469,11.73596,48.87957,10.34
493,JOR_2000,4,8,0.5,45.77247,93.00556,96.40174,14.47003,12.23573,48.84175,9.68
494,JOR_2004,4,8,0.5,46.37838,97.24145,96.85726,14.1693,13.12108,48.92122,7.96
495,JOR_2008,4,7,0.57142857,43.33653,NA,97.15782,17.17726,NA,48.99604,10.015
496,JOR_2012,4,9,0.44444444,42.99881,NA,97.3331,18.07406,NA,48.52306,8.065
497,JOR_2016,1,8,0.125,43.03,NA,97.6715,17.5326,NA,49.02589,7.89
498,JPN_1992,357,528,0.67613636,50.74873,99.22129,99.6251,40.49686,13.06651,48.82762,3.255
499,JPN_1994,45,125,0.36,50.92209,99.7614,99.60094,40.30488,13.72971,48.80561,3.33
500,JPN_1996,421,448,0.93973214,48.01102,NA,99.57678,40.26677,NA,48.83554,3.365
501,JPN_1998,140,245,0.57142857,50.70753,98.25311,99.53858,40.48001,13.9454,48.7781,3.25
502,JPN_2000,818,363,2.25344353,50.70323,97.95495,99.48634,40.36359,14.12523,48.76428,3.525
503,JPN_2002,97,203,0.47783251,50.998,98.93394,99.4341,40.51463,14.3001,48.78023,4.025
504,JPN_2004,865,414,2.08937198,41.53212,NA,99.4559,40.85658,14.44683,48.78129,4.12
505,JPN_2006,116,190,0.61052632,41.60926,NA,99.4777,41.11118,14.62452,48.80791,4.025
506,JPN_2008,867,457,1.89715536,41.63501,NA,99.5013,41.24906,14.70052,48.77917,3.945
507,JPN_2010,148,153,0.96732026,51.48795,99.56011,99.5267,41.73713,14.90241,48.75134,4.45
508,JPN_2012,1017,399,2.54887218,51.48506,99.17324,99.5521,41.9339,15.10942,48.73673,4.405
509,JPN_2014,124,171,0.7251462,51.50638,98.50649,99.56814,42.60031,15.13726,48.75605,4.47
510,JPN_2016,640,436,1.46788991,48.96123,NA,99.58418,43.1245,NA,NA,4.175
511,KAZ_1994,28,71,0.3943662,48.62287,NA,95.0925,48.06582,NA,49.45317,1.88
512,KAZ_1996,36,142,0.25352113,48.46325,NA,95.5583,48.29822,NA,49.27146,0.725
513,KAZ_1998,45,114,0.39473684,48.79178,NA,96.05042,48.68077,NA,49.58592,0.85
514,KAZ_2000,82,158,0.51898734,50.68073,94.25208,96.56886,49.00199,12.56825,49.25823,2.435
515,KAZ_2002,52,101,0.51485149,59.05772,97.91345,97.0873,49.07645,NA,48.82142,2.39
516,KAZ_2004,47,130,0.36153846,59.32187,98.6274,97.13026,48.80187,NA,48.80483,3.245
517,KAZ_2006,30,97,0.30927835,52.13487,97.96804,97.17322,48.97677,15.05642,48.84478,4.79
518,KAZ_2008,130,146,0.89041096,59.94521,99.06052,97.11402,49.14991,NA,48.79662,5.605
519,KAZ_2010,67,100,0.67,43.4555,NA,96.95266,48.88273,14.70991,48.88722,7.845
520,KAZ_2012,181,132,1.37121212,52.72316,99.65918,96.7913,48.83302,15.29265,48.82281,6.94
521,KAZ_2014,41,115,0.35652174,52.47396,99.59862,96.97486,48.68499,15.34437,48.72091,5.52
522,KAZ_2016,149,123,1.21138211,52.3186,99.91682,97.15842,48.5346,15.35253,48.66923,4.28
523,KEN_1992,9,55,0.16363636,57.21912,NA,88.474,48.54207,NA,49.01541,42.845
524,KEN_1996,29,54,0.53703704,58.20638,NA,88.77528,49.23887,NA,NA,36.605
525,KEN_2000,32,59,0.54237288,50.69882,66.50717,89.28824,49.23451,8.16496,49.38302,41.615
526,KEN_2004,62,46,1.34782609,50.54258,70.97219,89.86432,47.59477,9.04098,48.2832,37.5
527,KEN_2008,142,47,3.0212766,62.08662,77.83292,90.4926,47.25937,NA,49.19819,45.65
528,KEN_2012,88,51,1.7254902,62.77632,84.94183,91.2998,47.71611,NA,49.84886,40.075
529,KEN_2016,187,80,2.3375,57.09578,NA,91.82084,48.53211,NA,49.67015,38.36
530,KGZ_1994,2,2,1,48.08762,NA,93.3681,44.33316,NA,49.91421,4.735
531,KGZ_1996,10,53,0.18867925,56.60241,90.4604,93.6195,44.43188,NA,48.69525,5.805
532,KGZ_2000,20,71,0.28169014,50.43192,92.67694,95.43588,44.09889,12.01106,48.83375,9.535
533,KGZ_2004,7,32,0.21875,50.60306,98.05516,96.74752,42.94323,12.76937,48.9781,4.125
534,KGZ_2008,4,22,0.18181818,57.19141,95.01923,96.78752,42.18341,NA,48.79687,3.17
535,KGZ_2010,1,3,0.33333333,49.39777,94.90389,96.31396,41.71994,12.65737,48.76648,2.025
